pert_idx,severity,err_clean,err_pert,R_sample
4,0.18260467052459717,0.014174485579133034,0.014181419275701046,0.999283814960222
2,0.031192481517791748,0.030107419937849045,0.030041493475437164,1.0
7,0.5340628027915955,0.0004388753732200712,0.00043896774877794087,0.999691735788009
4,0.7518784999847412,0.0036302816588431597,0.0036682786885648966,0.9848620566017942
3,0.7425159215927124,0.09607496857643127,0.09414160251617432,1.0
1,0.7145482897758484,0.023277053609490395,0.02184350974857807,1.0
9,0.6319066882133484,0.29774007201194763,0.29937422275543213,0.9920135190313667
5,0.9576559662818909,5.3908181143924594e-05,5.390786100178957e-05,1.0
5,0.4264494776725769,0.0003453537356108427,0.00034535324084572494,1.0
8,0.23988080024719238,0.019254561513662338,0.01991082914173603,0.9520862132675955
9,0.16574931144714355,0.03217808157205582,0.03212050721049309,1.0
9,0.4901543855667114,0.0013046201784163713,0.001304621109738946,0.9999989542157017
1,0.381811261177063,0.02095591276884079,0.022124025970697403,0.9236103425237633
1,0.9535903930664062,0.063662089407444,0.06096871569752693,1.0
7,0.7045729756355286,0.013212379068136215,0.017677243798971176,0.6527972967210569
6,0.2547265887260437,0.015272840857505798,0.02073017880320549,0.6391792930035374
3,0.028207004070281982,0.00011798999912571162,0.00011799194908235222,0.9999757917221994
8,0.3274688720703125,0.005578869953751564,0.005578870885074139,0.999999755441471
5,0.8470557928085327,0.0014597083209082484,0.001459708670154214,0.9999996494967897
8,9.369850158691406e-05,0.15043339133262634,0.15074275434017181,0.9969949316250212
2,0.890144944190979,0.00021407203166745603,0.00040834335959516466,0.3882750611638418
7,0.3170575499534607,0.015445645898580551,0.015538714826107025,0.9912377970429919
9,0.2555789351463318,0.0007433283026330173,0.000743328535463661,0.9999995411367799
5,0.6054770350456238,0.00018531492969486862,0.00018531618115957826,0.9999901073888626
9,0.5925019383430481,0.05036255344748497,0.05038822069764137,0.9992538458070458
5,0.9675971269607544,0.01765311509370804,0.01813758723437786,0.9611133590096308
0,0.5380951762199402,0.18696245551109314,0.10492187738418579,1.0
4,0.6296806931495667,0.0036578180734068155,0.000833147787488997,1.0
1,0.44529277086257935,0.002447712467983365,0.002373193623498082,1.0
8,0.7128317952156067,0.0013092131121084094,0.0013240119442343712,0.9836683606350116
4,0.9241474270820618,0.006232751999050379,0.006231788545846939,1.0
1,0.20947933197021484,0.0004224460863042623,0.0004957726341672242,0.7909883174270249
